"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Conteggio di ID_INT","Etichette di colonna","","","","","","","","","","","","","","","","","","","","","","",""
"Etichette di riga","Q001","Q002","Q003","Q004","Q005","Q006","Q007","Q008","Q009","Q010","Q011","Q012","Q013","Q014","Q015","Q016","Q017","Q018","Q019","Q020","Q021","Q022","Q023","Totale complessivo"
"Q001","453","113","131","32","93","132","138","106","68","59","41","57","82","67","35","49","76","56","35","24","53","50","42","1992"
"Q002","112","158","34","13","19","17","19","20","59","16","15","13","11","11","6","8","9","7","6","6","9","29","16","613"
"Q003","128","36","276","39","59","31","28","8","29","38","55","28","34","17","9","11","14","8","7","5","5","8","16","889"
"Q004","37","12","40","146","73","20","12","9","16","9","38","27","49","17","4","6","7","5","4","1","5","2","10","549"
"Q005","89","20","56","74","244","80","27","17","19","8","25","21","72","38","12","8","14","4","6","1","7","11","18","871"
"Q006","139","20","34","18","78","386","60","29","38","16","16","23","47","89","26","43","59","14","11","7","16","12","15","1196"
"Q007","130","18","27","12","23","64","216","64","19","12","11","16","12","22","11","27","48","74","46","16","14","9","5","896"
"Q008","108","18","9","11","16","26","63","202","16","13","7","7","12","7","8","13","19","17","13","21","40","20","6","672"
"Q009","80","55","28","15","21","36","23","18","255","53","16","30","15","15","8","11","13","7","9","9","8","15","40","780"
"Q010","55","18","37","8","10","19","11","9","57","229","44","45","19","9","5","16","16","1","1","5","6","8","83","711"
"Q011","45","13","50","42","24","15","11","7","19","35","202","95","13","8","3","7","9","4","5","2","","6","16","631"
"Q012","53","10","27","24","21","24","14","7","31","48","95","250","31","16","5","9","9","3","5","2","4","7","41","736"
"Q013","76","10","32","51","75","46","11","14","15","19","15","31","257","123","10","13","9","1","7","5","1","5","10","836"
"Q014","65","11","16","17","39","88","21","9","15","9","7","16","115","259","23","23","19","5","6","3","3","6","11","786"
"Q015","31","5","10","3","13","24","10","7","10","7","4","6","10","22","161","65","28","7","13","2","2","3","2","445"
"Q016","48","7","10","7","9","43","25","13","14","16","7","9","11","22","61","140","75","15","19","7","3","2","9","572"
"Q017","77","10","15","6","13","59","47","20","13","14","8","5","9","24","29","72","396","22","22","9","6","1","10","887"
"Q018","54","8","9","5","5","17","72","16","7","2","4","4","1","5","7","16","21","215","59","40","17","5","5","594"
"Q019","37","7","8","3","5","12","45","13","8","","5","3","7","7","13","15","20","61","125","18","7","1","4","424"
"Q020","24","6","5","1","2","7","15","20","9","3","1","2","5","","1","7","9","39","17","61","3","4","5","246"
"Q021","47","8","5","5","8","15","16","39","9","6","","4","4","4","1","4","5","16","7","3","94","14","6","320"
"Q022","55","29","9","2","9","11","8","18","16","9","5","5","5","6","3","2","2","5","1","4","14","99","9","326"
"Q023","44","14","15","13","18","16","5","7","41","88","15","36","12","11","2","8","10","4","3","5","5","9","214","595"
"Totale complessivo","1987","606","883","547","877","1188","897","672","783","709","636","733","833","799","443","573","887","590","427","256","322","326","593","16567"
